SourceID,RA,DEC
1,5.072062150000001,59.3038693
3,5.0755143,59.302104549999996
6,5.07265745,59.30697225
11,5.0788711,59.3023193
14,5.0636054,59.30417025
15,5.0668564,59.3003302
16,5.07712625,59.30031595
18,5.08066305,59.3032006
20,5.0692137,59.3082575
22,5.0802724,59.301157
23,5.07633175,59.2995345
25,5.0694254999999995,59.3087963
28,5.082168,59.3019222
32,5.08153595,59.30696895
33,5.08342175,59.3043055
36,5.0820202,59.3008032
38,5.0834908500000004,59.305330749999996
43,5.082394949999999,59.30774865
44,5.0598002,59.3064705
47,5.0818851,59.2994959
48,5.0696753,59.310551
55,5.07243715,59.31107305
56,5.08626075,59.3045363
60,5.06563965,59.29720695
61,5.0674455,59.2966658
62,5.0621700999999995,59.2981054
64,5.073991599999999,59.29611895
65,5.07167195,59.2959767
68,5.06440115,59.311099150000004
70,5.0854107,59.308637000000004
71,5.08824355,59.30300605
73,5.0757664,59.29575415
75,5.0612092,59.2976509
76,5.0760615,59.3121884
77,5.0869436,59.2997882
78,5.0690993,59.2953914
79,5.0841666,59.3103325
85,5.0849163,59.31049385
86,5.05933845,59.297331299999996
88,5.06376405,59.3122502
90,5.08354415,59.3114499
91,5.0902657,59.3061962
93,5.0771114,59.2944088
94,5.0900101,59.307093
96,5.0909263,59.3024679
97,5.078824900000001,59.313070350000004
98,5.08087755,59.29507565
100,5.0844871,59.311539
103,5.06114075,59.31241325
104,5.0825977,59.3126505
105,5.089498150000001,59.30916385
106,5.087664,59.31051455
108,5.0707997,59.2934994
109,5.0784657,59.29396585
113,5.0541003,59.3094205
114,5.0786285,59.3140459
115,5.07510925,59.314522350000004
116,5.0930145,59.30261955
117,5.051815599999999,59.30727095
119,5.08764,59.29621455
123,5.0781627,59.3148142
124,5.0771144,59.2925791
125,5.091225,59.2974634
127,5.0611645,59.3142553
128,5.0803521,59.3150799
131,5.048201000000001,59.304199249999996
132,5.09556585,59.3010303
133,5.0936341,59.3096169
134,5.0486969,59.3007529
136,5.0480028,59.3019077
141,5.0805516,59.29191525
142,5.0919457,59.2962725
143,5.0836799,59.315194399999996
145,5.0955866499999996,59.299380049999996
149,5.08661725,59.2932206
154,5.0464193,59.3016932
156,5.09105845,59.29472805
158,5.0955834,59.297787150000005
159,5.0826383,59.2916563
162,5.04803695,59.309572149999994
164,5.04766035,59.2986352
165,5.0984414000000005,59.301393000000004
167,5.0594914,59.315963499999995
170,5.0456001,59.3070723
171,5.0983315,59.300294
172,5.0690008,59.317702
173,5.0996461,59.3039368
174,5.07156565,59.28977155
177,5.09752645,59.29760855
178,5.0918113,59.3142485
179,5.0967957,59.29674835
181,5.05046985,59.313345600000005
184,5.0986946,59.298433450000005
187,5.0871827,59.3163812
188,5.09628775,59.29597185
189,5.09413545,59.29439635
191,5.0437494,59.3071365
193,5.06857905,59.3185962
194,5.0476745,59.3124042
196,5.0782615,59.3184887
197,5.1014062,59.304562
201,5.1012436999999995,59.301382649999994
203,5.043402800000001,59.3002264
204,5.09041485,59.3157782
206,5.0697759,59.2887191
209,5.1013174,59.3002694
212,5.0493918,59.2936998
213,5.04389095,59.3092278
214,5.0460198,59.2962273
218,5.097156549999999,59.295035150000004
221,5.1025892,59.3050025
222,5.0509674,59.31532595
223,5.1028047,59.303348549999995
224,5.06597455,59.3193423
225,5.093713599999999,59.292479
226,5.0480207,59.31383805
227,5.0411173,59.3027916
228,5.06305,59.31912185
229,5.0826595999999995,59.31889755
231,5.0964155,59.293696999999995
233,5.0410167,59.3069076
234,5.06028835,59.31877615
237,5.0709862,59.3200309
238,5.042478,59.3097226
241,5.04113355,59.3081144
242,5.1038831,59.3060354
244,5.1001487999999995,59.2957897
245,5.1018687,59.2975586
247,5.05171155,59.2910933
249,5.0525784,59.31724
251,5.0594636,59.2885044
252,5.1030337,59.3095522
255,5.1046826,59.30186945
256,5.1048347,59.30513835
259,5.054833049999999,59.318246900000005
261,5.0437873,59.3125866
265,5.091683,59.2901607
267,5.1016102,59.311810050000005
268,5.1054483,59.3039226
269,5.0899792,59.2894614
271,5.04806575,59.3160781
272,5.0862358,59.288099
273,5.1036972,59.310256100000004
276,5.1034636,59.2970773
280,5.0965943,59.2915837
282,5.10526505,59.2989882
286,5.0737479,59.3216336
289,5.09684655,59.31639305
290,5.1070719,59.3030215
292,5.0992678,59.2926508
293,5.04883485,59.290441200000004
297,5.055696449999999,59.28801315
298,5.0439741,59.3148149
300,5.038047000000001,59.2991921
301,5.09377255,59.2896317
304,5.0373535,59.3074777
305,5.0439512,59.2928465
306,5.10727385,59.30143765
307,5.0422192,59.3140485
312,5.1080862499999995,59.3054805
314,5.044273,59.3162486
315,5.0869211,59.286937
316,5.06949495,59.322461849999996
319,5.0502126,59.31897195
322,5.101876,59.3151092
327,5.1043872,59.29437059999999
329,5.0638716,59.3225466
331,5.04078115,59.31451655
335,5.0934282,59.28778605
342,5.1099921,59.3014051
343,5.0437599,59.2909234
344,5.04622525,59.3181581
348,5.0801986,59.3229238
350,5.10978285,59.3002748
354,5.103972000000001,59.292788900000005
355,5.09580545,59.288259800000006
358,5.0501183,59.320425
360,5.0743246,59.2839219
362,5.1114141,59.3060025
364,5.0380081,59.2939563
365,5.1072922,59.2949889
372,5.071506,59.2836798
375,5.05171745,59.32135745
376,5.0371668,59.3138915
378,5.110934,59.2993353
380,5.0328041500000005,59.307722150000004
381,5.112324,59.3046599
382,5.10831305,59.31259215
384,5.1097645,59.29689045
385,5.0450165,59.2887307
386,5.0598818,59.284273
393,5.1018131,59.2896868
395,5.1067052,59.3148619
397,5.0847016,59.2841014
400,5.1060959,59.2922746
403,5.07897075,59.32454415
409,5.1113425,59.3110747
410,5.10926245,59.313705600000006
413,5.0976613,59.2867529
416,5.0720152,59.2823191
418,5.0377593,59.3168165
423,5.0373677,59.29137285
424,5.1145163,59.302501
428,5.114519,59.3006702
434,5.0672096,59.32568845
437,5.09045865,59.32385695
438,5.1013301,59.320162249999996
440,5.0338765,59.29342955
443,5.0331233,59.31381205
444,5.0401636,59.2887182
446,5.111545400000001,59.294411350000004
447,5.098549,59.2861032
448,5.031507,59.312362
450,5.0422239,59.32046025
451,5.1157887,59.3010473
453,5.084861,59.2823176
458,5.1040105,59.2882371
466,5.0533123,59.3246288
467,5.0979669,59.322606
468,5.03818205,59.31900215
469,5.1089714,59.2905836
472,5.1166508,59.3004796
473,5.1111659,59.2924006
482,5.0551716,59.3256544
487,5.063996749999999,59.32703585
489,5.1109416,59.31655115
491,5.038142,59.2878728
492,5.03587455,59.318575
498,5.0760165,59.32752115
501,5.10923555,59.2894034
505,5.0369351,59.3197777
512,5.1127511,59.291255899999996
513,5.0636635000000005,59.32779595
517,5.0320497,59.3170597
520,5.115554449999999,59.293875650000004
523,5.078586550000001,59.32808585
532,5.0380878,59.2862831
533,5.1053354,59.2859154
535,5.0732586,59.2791006
537,5.046553149999999,59.3250527
538,5.0238035,59.3072332
539,5.115382,59.2923787
542,5.02311335,59.30360915
543,5.10879085,59.287351799999996
548,5.0371233,59.3219647
549,5.1113634999999995,59.3191676
550,5.04269785,59.324201450000004
552,5.1123728,59.2888519
553,5.0222876,59.3046172
554,5.0299287,59.2903196
556,5.0226352,59.30045
559,5.0905905,59.2801566
564,5.0806041,59.3293306
570,5.11456355,59.2896863
572,5.1218605,59.2988305
574,5.1187833000000005,59.29312955
575,5.02340405,59.311390200000005
576,5.12307315,59.302240499999996
577,5.021257,59.3012238
578,5.118100050000001,59.29187295
581,5.05089485,59.32775825
589,5.0753993,59.2776029
590,5.0401407,59.3246987
594,5.1032605,59.2827875
595,5.114581,59.2885433
597,5.0746553500000005,59.3305192
598,5.0554788,59.2786206
600,5.1016893,59.2818995
607,5.1175418,59.290326
608,5.0213408,59.2967061
611,5.1169563,59.318105
613,5.0756507,59.3308225
618,5.0209938,59.3115271
626,5.0719064,59.3312329
627,5.03086,59.321373
634,5.018186350000001,59.3043857
635,5.0573141,59.3304322
638,5.12524365,59.29848005
639,5.1223015,59.293029700000005
640,5.0181429,59.30088
641,5.043317,59.280398
644,5.1029912,59.2809868
646,5.0514521,59.3296863
