\fixlen = T
\RowsRetrieved = 9667
\ORIGIN = IPAC Infrared Science Archive (IRSA), Caltech/JPL
\SIMULATED_TABLE = n
\DATETIME = 2022-06-21 03:09:16
\DataTag = ADS/IRSA.Gator#2022/0621/030916_11866
\DATABASE = ZTF DR11 Objects (ztf_objects_dr11)
\EQUINOX = J2000
\SKYAREA = within 225 arcsec of  ra=5.07208 dec=+59.30389 Eq J2000 
\StatusFile = /workspace/TMP_wibCZC_6485/Gator/irsa/11866/log.11866.html
\SQL = 'WHERE (no constraints)
\SQL = SELECT (23 column names follow in next row.)
\ 
\ 
\ oid
\ ___ Unique object identifier
\ ra (deg)
\ ___ Object Right Ascension
\ dec (deg)
\ ___ Object Declination
\ field
\ ___ Field identifier
\ ccdid
\ ___ CCD identifier (1-16)
\ qid
\ ___ Quadrant (1-4)
\ filtercode
\ ___ Filter code (zg, zr, zi)
\ ngoodobs
\ ___ Number of epochal detections that were not flagged or masked due to bad pixels
\ ngoodobsrel
\ ___ Number of epochal detections in this release not associated with bad pixels
\ nobs
\ ___ Total number of epochal detections (observation epochs) in the lightcurve
\ nobsrel
\ ___ Total number of epochal detections that are in this release
\ refmag (mag)
\ ___ Object magnitude from reference image if detected (not transient)
\ refmagerr (mag)
\ ___ Error in refMag
\ astrometricrms (deg)
\ ___ Root Mean Squared deviation in epochal positions relative to object RA,Dec
\ chisq
\ ___ Chi-square metric using nobs detections
\ magrms (mag)
\ ___ Root Mean Squared deviation over nobs magnitudes
\ maxmag (mag)
\ ___ Maximum magnitude over nobs detections
\ medianabsdev (mag)
\ ___ Median absolute deviation in magnitudes over nobs detections
\ medianmag (mag)
\ ___ Median magnitude over nobs detections
\ medmagerr (mag)
\ ___ Median of magerr values over nobs detections
\ minmag (mag)
\ ___ Minimum magnitude over nobs detections
\ dist (arcsec)
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg)
\ ___ Position Angle in degree.
\ 
\
|oid             |ra       |dec       |field|ccdid|qid |filtercode|ngoodobs|ngoodobsrel|nobs|nobsrel|refmag      |refmagerr   |astrometricrms|chisq       |magrms      |maxmag      |medianabsdev|medianmag   |medmagerr   |minmag      |dist      |angle     |
|long            |double   |double    |int  |int  |int |char      |int     |int        |int |int    |double      |double      |double        |double      |double      |double      |double      |double      |double      |double      |double    |double    |
|                |deg      |deg       |     |     |    |          |        |           |    |       |mag         |mag         |deg           |            |mag         |mag         |mag         |mag         |mag         |mag         |arcsec    |deg       |
|null            |null     |null      |null |null |null|null      |null    |null       |null|null   |null        |null        |null          |null        |null        |null        |null        |null        |null        |null        |null      |null      |
  806303100073730 5.0755890 59.3020586   806     3    1 zi               39          35   44      39 1.915000E+01 4.600000E-02   4.690989E-07 1.524870E+00 8.094188E-02 1.938096E+01 5.307961E-02 1.913631E+01 5.160820E-02 1.902369E+01   9.222550 135.632063 
  806303100093095 5.0740366 59.3015158   806     3    1 zi               10          10   13      13 2.099600E+01 1.710000E-01   2.870333E-06 1.181104E+00 3.684830E-01 2.102669E+01 1.138449E-01 2.066977E+01 1.429056E-01 1.989275E+01   9.272726 157.182198 
  806303100088519 5.0718585 59.3064740   806     3    1 zi                9           7   10       7 2.092900E+01 1.780000E-01   1.407885E-06 3.086361E+00 3.547573E-01 2.144880E+01 3.356552E-01 2.086752E+01 1.612392E-01 2.035839E+01   9.311301 357.494603 
 1809211300070232 5.0740389 59.3015026  1809    11    3 zr                2           2    2       2 2.184100E+01 2.040000E-01   1.621026E-06 0.000000E+00 3.388499E-01 2.130304E+01 0.000000E+00 2.106343E+01 1.902564E-01 2.082383E+01   9.318178 157.271544 
  806303100062133 5.0699527 59.3064321   806     3    1 zi                0           0    0       0 2.210900E+01 2.780000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00   9.951561 336.870112 
 1809211300066716 5.0707967 59.3010875  1809    11    3 zr                0           0    0       0 2.190800E+01 2.310000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00  10.361000 193.158132 
  806203100060430 5.0709340 59.3008965   806     3    1 zr               31          28   31      28 2.148400E+01 1.780000E-01   2.402939E-06 1.939146E+00 3.330064E-01 2.190713E+01 2.735023E-01 2.131817E+01 2.091099E-01 2.067417E+01  10.980481 191.058827 
 1809211300054379 5.0726338 59.3069596  1809    11    3 zr               52          52   55      55 2.026800E+01 5.900000E-02   1.209072E-06 1.031548E+00 1.618822E-01 2.066025E+01 8.921909E-02 2.030129E+01 1.282308E-01 1.999271E+01  11.097323   5.261551 
 1809111300028615 5.0727384 59.3069587  1809    11    3 zg               26          26   28      28 2.087900E+01 6.500000E-02   1.839367E-06 1.419636E+00 2.084002E-01 2.121274E+01 1.656904E-01 2.083632E+01 1.730392E-01 2.040668E+01  11.113378   6.249912 
  806103100019942 5.0725765 59.3069858   806     3    1 zg              178         171  214     206 2.089700E+01 6.800000E-02   1.604934E-06 1.319247E+00 2.190215E-01 2.137292E+01 1.376181E-01 2.086559E+01 1.546584E-01 2.022922E+01  11.182165   4.679986 
  806303100091359 5.0711414 59.3008146   806     3    1 zi                0           0    0       0 2.150500E+01 1.860000E-01  5.595985E-318         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00  11.205015 188.856167 
  806303100062112 5.0726306 59.3070024   806     3    1 zi               42          38   46      41 1.985900E+01 7.300000E-02   8.295255E-07 1.635778E+00 1.275220E-01 2.014869E+01 9.866524E-02 1.987198E+01 8.942600E-02 1.956878E+01  11.250232   5.159764 
  806203100060428 5.0686987 59.3011576   806     3    1 zr               31          31   31      31 2.187300E+01 2.800000E-01   4.147256E-06 1.882719E+00 3.348465E-01 2.164400E+01 2.237282E-01 2.086678E+01 1.761811E-01 2.038603E+01  11.635117 212.283759 
 1809211300076769 5.0680262 59.3013847  1809    11    3 zr                1           1    1       1 2.178100E+01 1.630000E-01   0.000000E+00 0.000000E+00         null 2.106214E+01 0.000000E+00 2.106214E+01 1.901590E-01 2.106214E+01  11.698210 219.559817 
  806103100048929 5.0764658 59.3065076   806     3    1 zg                3           3    3       3 2.285100E+01 3.540000E-01   2.910176E-06 0.000000E+00 1.487857E-01 2.198995E+01 0.000000E+00 2.197992E+01 2.223350E-01 2.172738E+01  12.399919  40.538026 
  806303100082328 5.0765516 59.3064945   806     3    1 zi               37          33   41      36 2.018000E+01 5.100000E-02   1.085485E-06 1.310252E+00 1.654270E-01 2.060652E+01 1.000233E-01 2.022884E+01 1.131801E-01 1.969717E+01  12.467472  41.229545 
  806103100040248 5.0659994 59.3023138   806     3    1 zg                5           4    5       4 2.207100E+01 1.260000E-01   5.249867E-06 1.028399E+00 1.936283E-01 2.171257E+01 1.370792E-01 2.157549E+01 1.976215E-01 2.122468E+01  12.532961 243.082244 
  806303100094940 5.0668230 59.3016565   806     3    1 zi               11           9   14      11 2.028100E+01 1.120000E-01   2.298188E-06 2.270405E+00 2.583041E-01 2.069880E+01 1.782055E-01 2.015928E+01 1.163702E-01 1.972901E+01  12.569516 230.233514 
  806303100082412 5.0692415 59.3007083   806     3    1 zi               26          22   30      25 2.007800E+01 7.600000E-02   1.003128E-06 1.034280E+00 1.417742E-01 2.027831E+01 7.002068E-02 2.005129E+01 1.003719E-01 1.964631E+01  12.586128 204.487708 
 1809211300070194 5.0765935 59.3065230  1809    11    3 zr               21          21   21      21 2.114600E+01 6.600000E-02   1.780057E-06 9.664308E-01 1.910387E-01 2.125068E+01 1.206970E-01 2.099566E+01 1.851611E-01 2.042540E+01  12.595384  41.185313 
  806203100060429 5.0695279 59.3006421   806     3    1 zr              161         160  167     166 2.103500E+01 1.380000E-01   2.417955E-06 1.291614E+00 2.285336E-01 2.136060E+01 1.529465E-01 2.086482E+01 1.755620E-01 2.021953E+01  12.598110 201.858902 
  806203100065939 5.0657057 59.3025674   806     3    1 zr              229         226  231     228 2.087600E+01 9.600000E-02   2.077090E-06 1.351213E+00 2.351438E-01 2.136997E+01 1.563034E-01 2.080264E+01 1.715018E-01 2.003465E+01  12.645216 247.883556 
  806303100093090 5.0656038 59.3026663   806     3    1 zi               29          25   33      28 1.987200E+01 1.080000E-01   2.560799E-06 1.174911E+00 1.401514E-01 2.029031E+01 7.483101E-02 1.994880E+01 9.442800E-02 1.965802E+01  12.690942 249.691329 
 1809211300076376 5.0691541 59.3006763  1809    11    3 zr               17          17   18      18 2.098400E+01 9.100000E-02   2.855401E-06 6.923383E-01 1.423031E-01 2.108284E+01 7.999802E-02 2.081701E+01 1.713108E-01 2.059986E+01  12.757924 204.929816 
 1809211300042520 5.0655897 59.3026104  1809    11    3 zr               24          24   24      24 2.088400E+01 1.430000E-01   3.253249E-06 8.827233E-01 1.665908E-01 2.107393E+01 9.825706E-02 2.072791E+01 1.650301E-01 2.029905E+01  12.786371 248.885945 
 1809111300047928 5.0656134 59.3025476  1809    11    3 zg                1           1    1       1 2.220500E+01 1.510000E-01   0.000000E+00 0.000000E+00         null 2.174726E+01 0.000000E+00 2.174726E+01 2.379539E-01 2.174726E+01  12.829202 247.873939 
  806103100048078 5.0703370 59.3004316   806     3    1 zg                1           1    1       1 2.250600E+01 2.590000E-01   0.000000E+00 0.000000E+00         null 2.170040E+01 0.000000E+00 2.170040E+01 2.052544E-01 2.170040E+01  12.855736 194.429555 
  806303100093096 5.0771841 59.3014385   806     3    1 zi                4           4    5       5 2.067700E+01 1.000000E-01   1.890600E-06 2.910412E+00 3.506358E-01 2.092216E+01 2.825451E-01 2.055944E+01 1.439320E-01 2.016496E+01  12.879403 133.251791 
 1809111300037335 5.0665004 59.3016811  1809    11    3 zg                3           3    3       3 2.194000E+01 1.240000E-01   1.264392E-06 0.000000E+00 4.813487E-01 2.172305E+01 0.000000E+00 2.158723E+01 2.265500E-01 2.082976E+01  12.976278 232.209173 
 1809111300052784 5.0767999 59.3066425  1809    11    3 zg                0           0    0       0 2.275800E+01 3.560000E-01  6.932616E-310         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00  13.168901  41.194516 
 1809211300073393 5.0698976 59.3073767  1809    11    3 zr                5           5    5       5 2.082300E+01 1.250000E-01   4.320196E-06 1.306846E+00 4.833758E-01 2.086894E+01 1.296921E-01 2.049184E+01 1.471339E-01 1.958927E+01  13.177243 342.281904 
 1809111300028676 5.0788071 59.3024032  1809    11    3 zg               16          16   18      18 2.087300E+01 1.150000E-01   1.745235E-06 1.158706E+00 1.978171E-01 2.119334E+01 1.379471E-01 2.088499E+01 1.765075E-01 2.045586E+01  13.471890 113.407059 
  806303100062230 5.0789267 59.3025502   806     3    1 zi               32          29   35      31 1.976000E+01 8.900000E-02   1.022098E-06 1.251719E+00 1.314234E-01 2.005652E+01 6.911278E-02 1.975545E+01 8.186073E-02 1.950678E+01  13.475503 110.970150 
 1809211300054444 5.0788531 59.3023801  1809    11    3 zr               53          53   54      54 2.003700E+01 1.420000E-01   1.772038E-06 1.720812E+00 2.079396E-01 2.060501E+01 1.416473E-01 2.020599E+01 1.220391E-01 1.968792E+01  13.582581 113.587269 
  806203100066818 5.0692740 59.3074299   806     3    1 zr              169         167  171     169 2.048300E+01 1.080000E-01   3.806193E-06 1.673840E+00 2.951448E-01 2.108779E+01 1.711292E-01 2.054194E+01 1.515774E-01 1.945353E+01  13.747336 337.971538 
  806203100057021 5.0788600 59.3021770   806     3    1 zr              444         439  458     452 2.026400E+01 6.400000E-02   2.534352E-06 1.606827E+00 2.114584E-01 2.060764E+01 1.334553E-01 2.019215E+01 1.231376E-01 1.886136E+01  13.902752 116.328768 
  806103100029893 5.0789351 59.3022354   806     3    1 zg              110         106  135     130 2.085900E+01 8.800000E-02   2.327746E-06 1.156738E+00 2.320837E-01 2.136186E+01 1.202497E-01 2.089734E+01 1.541250E-01 2.002822E+01  13.935420 115.302276 
 1809211300070228 5.0658860 59.3016410  1809    11    3 zr               13          13   13      13 2.090400E+01 1.280000E-01   2.382078E-06 1.995975E+00 3.065846E-01 2.097062E+01 2.118225E-01 2.062564E+01 1.573406E-01 1.999347E+01  13.968990 234.580384 
  806303100094186 5.0688762 59.3075428   806     3    1 zi               21          19   23      20 2.042400E+01 4.900000E-02   1.318513E-06 1.448334E+00 2.164544E-01 2.070665E+01 1.200523E-01 2.034428E+01 1.228926E-01 1.987917E+01  14.407868 335.882740 
  806303100082327 5.0770666 59.3070421   806     3    1 zi                0           0    0       0 2.111600E+01 1.240000E-01  6.898235E-310         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00  14.585609  38.920310 
  806103100042691 5.0691525 59.3076674   806     3    1 zg                9           9   11      11 2.127100E+01 1.460000E-01   1.975673E-06 2.194531E+00 4.217837E-01 2.142866E+01 2.460041E-01 2.106124E+01 1.661975E-01 2.020380E+01  14.624095 338.417231 
  806303100094206 5.0789352 59.3017785   806     3    1 zi               25          21   29      24 1.982300E+01 6.900000E-02   8.772045E-07 7.743341E-01 1.092931E-01 1.987797E+01 4.145050E-02 1.971717E+01 7.936434E-02 1.941101E+01  14.714054 121.102058 
 1809211300070193 5.0770112 59.3071984  1809    11    3 zr                2           2    3       3 2.281500E+01 3.200000E-01   2.083473E-06 0.000000E+00 1.241019E-01 2.086597E+01 0.000000E+00 2.077822E+01 1.622146E-01 2.069046E+01  14.965655  37.263383 
