\fixlen = T
\RowsRetrieved = 9667
\ORIGIN = IPAC Infrared Science Archive (IRSA), Caltech/JPL
\SIMULATED_TABLE = n
\DATETIME = 2022-06-21 03:09:16
\DataTag = ADS/IRSA.Gator#2022/0621/030916_11866
\DATABASE = ZTF DR11 Objects (ztf_objects_dr11)
\EQUINOX = J2000
\SKYAREA = within 225 arcsec of  ra=5.07208 dec=+59.30389 Eq J2000 
\StatusFile = /workspace/TMP_wibCZC_6485/Gator/irsa/11866/log.11866.html
\SQL = 'WHERE (no constraints)
\SQL = SELECT (23 column names follow in next row.)
\ 
\ 
\ oid
\ ___ Unique object identifier
\ ra (deg)
\ ___ Object Right Ascension
\ dec (deg)
\ ___ Object Declination
\ field
\ ___ Field identifier
\ ccdid
\ ___ CCD identifier (1-16)
\ qid
\ ___ Quadrant (1-4)
\ filtercode
\ ___ Filter code (zg, zr, zi)
\ ngoodobs
\ ___ Number of epochal detections that were not flagged or masked due to bad pixels
\ ngoodobsrel
\ ___ Number of epochal detections in this release not associated with bad pixels
\ nobs
\ ___ Total number of epochal detections (observation epochs) in the lightcurve
\ nobsrel
\ ___ Total number of epochal detections that are in this release
\ refmag (mag)
\ ___ Object magnitude from reference image if detected (not transient)
\ refmagerr (mag)
\ ___ Error in refMag
\ astrometricrms (deg)
\ ___ Root Mean Squared deviation in epochal positions relative to object RA,Dec
\ chisq
\ ___ Chi-square metric using nobs detections
\ magrms (mag)
\ ___ Root Mean Squared deviation over nobs magnitudes
\ maxmag (mag)
\ ___ Maximum magnitude over nobs detections
\ medianabsdev (mag)
\ ___ Median absolute deviation in magnitudes over nobs detections
\ medianmag (mag)
\ ___ Median magnitude over nobs detections
\ medmagerr (mag)
\ ___ Median of magerr values over nobs detections
\ minmag (mag)
\ ___ Minimum magnitude over nobs detections
\ dist (arcsec)
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg)
\ ___ Position Angle in degree.
\ 
\
|oid             |ra       |dec       |field|ccdid|qid |filtercode|ngoodobs|ngoodobsrel|nobs|nobsrel|refmag      |refmagerr   |astrometricrms|chisq       |magrms      |maxmag      |medianabsdev|medianmag   |medmagerr   |minmag      |dist      |angle     |
|long            |double   |double    |int  |int  |int |char      |int     |int        |int |int    |double      |double      |double        |double      |double      |double      |double      |double      |double      |double      |double    |double    |
|                |deg      |deg       |     |     |    |          |        |           |    |       |mag         |mag         |deg           |            |mag         |mag         |mag         |mag         |mag         |mag         |arcsec    |deg       |
|null            |null     |null      |null |null |null|null      |null    |null       |null|null   |null        |null        |null          |null        |null        |null        |null        |null        |null        |null        |null      |null      |
  806303100088456 5.1264631 59.3131500   806     3    1 zi                1           1    3       3 2.177500E+01 2.280000E-01   0.000000E+00 0.000000E+00         null 2.116078E+01 0.000000E+00 2.116078E+01 1.803596E-01 2.116078E+01 105.342390  71.528018 
 1809111300045935 5.0677116 59.2747128  1809    11    3 zg                3           3    4       4 2.207300E+01 9.300000E-02   5.663076E-07 0.000000E+00 1.209923E-01 2.170256E+01 0.000000E+00 2.149347E+01 2.260044E-01 2.149252E+01 105.344524 184.374339 
  806303100073227 5.0432204 59.3291933   806     3    1 zi                2           1    2       1 2.134500E+01 1.360000E-01   5.124045E-07 0.000000E+00 2.395883E-01 2.106284E+01 0.000000E+00 2.089343E+01 1.622359E-01 2.072401E+01 105.396941 329.812363 
 1809211300043005 5.0528852 59.2762977  1809    11    3 zr                2           2    2       2 2.226400E+01 1.830000E-01   3.123124E-06 0.000000E+00 3.817695E-01 2.134101E+01 0.000000E+00 2.107106E+01 1.908301E-01 2.080111E+01 105.414640 199.566679 
  806203100060300 5.0331600 59.3254097   806     3    1 zr               18          18   18      18 2.113800E+01 8.600000E-02   3.040459E-06 3.428382E+00 5.288751E-01 2.194674E+01 4.586477E-01 2.117056E+01 1.983417E-01 2.025212E+01 105.424539 317.311032 
 1809211300062194 5.0358110 59.2811968  1809    11    3 zr                2           2    2       2 2.194600E+01 2.370000E-01   2.522155E-06 0.000000E+00 4.192229E-01 2.130906E+01 0.000000E+00 2.101263E+01 1.864367E-01 2.071619E+01 105.450291 219.235022 
 1809211300054468 5.1293105 59.3016596  1809    11    3 zr                0           0    0       0 2.295700E+01 3.560000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 105.484515  94.340949 
  806303100094149 5.0331074 59.3254275   806     3    1 zi                5           4    5       4 2.097000E+01 1.360000E-01   8.522273E-07 3.093661E+00 5.611093E-01 2.152580E+01 3.619919E-01 2.105930E+01 1.734803E-01 2.001697E+01 105.537160 317.296105 
 1809111300050044 5.1286581 59.2988663  1809    11    3 zg                0           0    0       0 2.249200E+01 1.830000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 105.544780  99.842117 
  806303100091255 5.0233374 59.3194060   806     3    1 zi                1           0    2       0 2.209400E+01 2.520000E-01   0.000000E+00 0.000000E+00         null 2.147980E+01 0.000000E+00 2.147980E+01 1.947719E-01 2.147980E+01 105.547851 301.973446 
  806203100065958 5.1236751 59.2909783   806     3    1 zr              413         408  430     425 1.959800E+01 9.700000E-02   1.853818E-06 1.329286E+00 1.805439E-01 2.032080E+01 9.021759E-02 1.989068E+01 1.006229E-01 1.876954E+01 105.615184 116.088608 
  806103100036192 5.0147893 59.3065095   806     3    1 zg                1           1    1       1 2.278000E+01 3.160000E-01   0.000000E+00 0.000000E+00         null 2.163093E+01 0.000000E+00 2.163093E+01 2.010092E-01 2.163093E+01 105.703096 275.143024 
 1809211300054087 5.0478002 59.3305267  1809    11    3 zr               14          14   14      14 2.133000E+01 1.320000E-01   1.114021E-06 1.458578E+00 2.306622E-01 2.156434E+01 1.836290E-01 2.101551E+01 1.866533E-01 2.079042E+01 105.757693 335.065745 
  806303100088334 5.1116783 59.3252345   806     3    1 zi                1           1    1       1 2.212000E+01 3.010000E-01   0.000000E+00 0.000000E+00         null 2.102544E+01 0.000000E+00 2.102544E+01 1.711851E-01 2.102544E+01 105.814893  43.416239 
  806203100022417 5.0479384 59.3305790   806     3    1 zr              126         123  129     125 2.120800E+01 1.020000E-01   1.623921E-06 1.425926E+00 2.975465E-01 2.173839E+01 1.931973E-01 2.121644E+01 2.008760E-01 2.022569E+01 105.821777 335.233332 
 1809111300052435 5.1237833 59.2909315  1809    11    3 zg               16          16   17      17 2.049300E+01 9.700000E-02   1.729734E-06 8.798656E-01 1.744791E-01 2.088094E+01 9.589577E-02 2.064741E+01 1.615872E-01 2.025025E+01 105.867996 116.123051 
  806303100088716 5.1237868 59.2909209   806     3    1 zi               31          27   35      30 1.966800E+01 1.210000E-01   1.522815E-06 1.140331E+00 1.064830E-01 2.001330E+01 6.640625E-02 1.982719E+01 8.633803E-02 1.959879E+01 105.890604 116.140047 
  806203100023503 5.1296972 59.3031530   806     3    1 zr               88          85   88      85 2.156600E+01 1.350000E-01   2.010143E-06 9.426104E-01 2.637536E-01 2.190628E+01 1.330538E-01 2.132045E+01 2.092758E-01 2.038480E+01 105.920062  91.410584 
 1809211300066726 5.1289416 59.2990571  1809    11    3 zr                4           4    4       4 2.206200E+01 1.900000E-01   2.386283E-06 1.418677E+00 2.224810E-01 2.135533E+01 1.861525E-01 2.112041E+01 1.945402E-01 2.088955E+01 105.942895  99.427751 
 1809211300073430 5.0214866 59.2897641  1809    11    3 zr                9           9    9       9 2.145700E+01 8.000000E-02   2.767884E-06 1.015864E+00 2.896554E-01 2.147909E+01 1.318760E-01 2.109282E+01 1.924660E-01 2.055157E+01 105.992927 241.350748 
 1809211300007722 5.1297383 59.3031701  1809    11    3 zr                7           7    7       7 2.144400E+01 8.100000E-02   1.271753E-06 7.283928E-01 1.087013E-01 2.110232E+01 9.149551E-02 2.100993E+01 1.862336E-01 2.085843E+01 105.994021  91.376278 
  806303100073217 5.0477484 59.3305959   806     3    1 zi               35          31   39      34 2.030100E+01 8.000000E-02   8.638166E-07 8.528253E-01 1.384884E-01 2.072430E+01 6.675529E-02 2.025669E+01 1.160512E-01 2.005039E+01 106.023688 335.075941 
 1809111300004709 5.0164293 59.3116716  1809    11    3 zg               21          21   22      22 2.103600E+01 5.400000E-02   1.715545E-06 1.348040E+00 3.038290E-01 2.129668E+01 1.675129E-01 2.096010E+01 1.842339E-01 2.037922E+01 106.027779 285.344032 
 1809111300005325 5.0200647 59.2911479  1809    11    3 zg               16          16   17      17 2.121800E+01 5.900000E-02   1.578179E-06 1.061286E+00 2.317373E-01 2.141682E+01 1.364326E-01 2.107554E+01 1.905942E-01 2.057565E+01 106.043519 244.391406 
  806203100023144 5.0164289 59.3116882   806     3    1 zr              791         782  859     849 1.956000E+01 2.500000E-02   8.425586E-07 1.072294E+00 1.007763E-01 2.001391E+01 5.800629E-02 1.956722E+01 8.020200E-02 1.917539E+01 106.044268 285.375072 
 1809211300061747 5.0406855 59.3286113  1809    11    3 zr                3           3    3       3 2.222100E+01 1.980000E-01   1.612312E-06 0.000000E+00 1.495772E-01 2.143863E+01 0.000000E+00 2.123496E+01 2.031529E-01 2.114704E+01 106.050507 327.068335 
  806303100074031 5.0245819 59.2871676   806     3    1 zi               18          14   20      15 2.065500E+01 1.390000E-01   2.635725E-06 1.112798E+00 1.545479E-01 2.097131E+01 1.156549E-01 2.077325E+01 1.540890E-01 2.043401E+01 106.053268 235.434234 
 1809211300007264 5.0164191 59.3116816  1809    11    3 zr               75          75   81      81 1.955500E+01 2.700000E-02   4.974156E-07 9.579924E-01 7.701971E-02 1.978397E+01 4.873466E-02 1.956208E+01 7.542232E-02 1.939379E+01 106.055357 285.360121 
  806103100019798 5.0164147 59.3116832   806     3    1 zg              159         155  186     181 2.117000E+01 6.700000E-02   1.630799E-06 1.231393E+00 1.998713E-01 2.143519E+01 1.361427E-01 2.101273E+01 1.639162E-01 2.049022E+01 106.064675 285.361969 
  806103100040318 5.0200452 59.2911535   806     3    1 zg              119         118  137     135 2.123700E+01 6.500000E-02   1.635434E-06 1.166825E+00 2.239878E-01 2.165483E+01 1.340733E-01 2.113658E+01 1.703572E-01 2.034807E+01 106.067112 244.409607 
 1809211300076772 5.1238690 59.2908937  1809    11    3 zr               35          35   37      37 1.973500E+01 1.020000E-01   1.514585E-06 1.438923E+00 1.223926E-01 2.005135E+01 9.032631E-02 1.984999E+01 9.306804E-02 1.961504E+01 106.069427 116.151492 
  806303100095707 5.0214704 59.2897302   806     3    1 zi               28          24   31      26 2.022000E+01 8.600000E-02   1.590021E-06 9.136174E-01 1.169654E-01 2.054169E+01 7.256222E-02 2.027724E+01 1.177525E-01 2.004822E+01 106.077687 241.300648 
  806103100045167 5.1297935 59.3031514   806     3    1 zg                3           3    3       3 2.224800E+01 1.710000E-01   3.578881E-06 0.000000E+00 6.806553E-02 2.171980E+01 0.000000E+00 2.166932E+01 2.033553E-01 2.158507E+01 106.097130  91.411259 
 1809211300042733 5.0200322 59.2911374  1809    11    3 zr               72          72   78      78 1.962000E+01 4.200000E-02   5.193791E-07 1.154903E+00 1.111147E-01 1.999998E+01 6.389809E-02 1.966937E+01 8.202879E-02 1.930009E+01 106.113743 244.386975 
  806303100073558 5.0163855 59.3116854   806     3    1 zi               43          39   48      43 1.873300E+01 3.400000E-02   3.268040E-07 7.672368E-01 4.509005E-02 1.889001E+01 2.034760E-02 1.875596E+01 3.931947E-02 1.867139E+01 106.118512 285.358443 
  806203100060517 5.0200342 59.2911233   806     3    1 zr              737         728  794     784 1.970400E+01 3.700000E-02   8.478537E-07 1.090013E+00 1.086510E-01 2.009421E+01 6.391525E-02 1.968238E+01 8.693545E-02 1.930142E+01 106.132418 244.361414 
 1809211300042272 5.0215557 59.3181817  1809    11    3 zr                0           0    0       0 2.265500E+01 3.240000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 106.135541 299.018382 
  806303100088295 5.0407442 59.3286617   806     3    1 zi                8           7   10       8 2.126300E+01 1.820000E-01   2.210450E-06 8.360660E-01 2.089948E-01 2.129917E+01 9.924507E-02 2.109635E+01 1.759918E-01 2.072121E+01 106.144270 327.170441 
  806303100073942 5.0200150 59.2911251   806     3    1 zi               35          31   39      34 1.885100E+01 2.700000E-02   2.546562E-07 8.334174E-01 3.870525E-02 1.898269E+01 2.457809E-02 1.890385E+01 4.372297E-02 1.883072E+01 106.161423 244.372823 
  806103100048647 5.1290505 59.2990161   806     3    1 zg                1           1    2       2 2.253200E+01 2.910000E-01   0.000000E+00 0.000000E+00         null 2.165078E+01 0.000000E+00 2.165078E+01 1.182264E-01 2.165078E+01 106.164684  99.488536 
  806203100051935 5.1203355 59.3201261   806     3    1 zr               14          14   14      14 2.212600E+01 2.530000E-01   2.761518E-06 1.109411E+00 5.174457E-01 2.176224E+01 1.712999E-01 2.158976E+01 2.289225E-01 2.032121E+01 106.193274  56.584031 
 1809111300051785 5.1298732 59.3030616  1809    11    3 zg                0           0    0       0 2.244300E+01 1.550000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 106.252276  91.583515 
 1809111300053167 5.0577090 59.2753001  1809    11    3 zg                2           2    2       2 2.216500E+01 1.800000E-01   1.206507E-08 0.000000E+00 1.555077E-01 2.169920E+01 0.000000E+00 2.158924E+01 2.266932E-01 2.147928E+01 106.260820 194.403579 
 1809111300049956 5.0345130 59.3263377  1809    11    3 zg                0           0    0       0 2.310400E+01 3.510000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 106.271861 319.517780 
  806103100047130 5.0438095 59.3296458   806     3    1 zg                1           1    1       1 2.297200E+01 3.590000E-01   0.000000E+00 0.000000E+00         null 2.190592E+01 0.000000E+00 2.190592E+01 2.178130E-01 2.190592E+01 106.274788 330.758349 
  806303100061825 5.0214651 59.3181783   806     3    1 zi                3           3    3       3 2.149000E+01 1.670000E-01   2.453359E-06 0.000000E+00 1.924917E-02 2.111860E+01 0.000000E+00 2.109607E+01 1.759727E-01 2.108030E+01 106.275249 298.969143 
 1809211300008405 5.0246877 59.2869787  1809    11    3 zr                0           0    0       0 2.267500E+01 2.280000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 106.281490 235.072929 
  806303100073415 5.1205358 59.3200776   806     3    1 zi                7           7    8       7 2.146900E+01 1.380000E-01   1.071471E-06 1.878456E+00 2.765415E-01 2.143938E+01 2.289715E-01 2.113385E+01 1.807193E-01 2.063902E+01 106.405046  56.771529 
  806103100040123 5.0498843 59.3311933   806     3    1 zg               22          22   24      24 2.198200E+01 2.160000E-01   3.485799E-06 8.699805E-01 2.638656E-01 2.201251E+01 1.184425E-01 2.167822E+01 2.018470E-01 2.083598E+01 106.413269 337.479787 
  806303100073342 5.0276200 59.3228365   806     3    1 zi               39          35   41      36 1.940400E+01 1.000000E-01   5.795406E-07 1.477218E+00 1.046621E-01 1.969038E+01 6.826401E-02 1.951175E+01 6.851270E-02 1.922854E+01 106.416255 309.881740 
  806303100094932 5.0143269 59.3060877   806     3    1 zi                0           0    0       0 2.184400E+01 1.980000E-01  1.271981E-317         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 106.426486 274.288118 
 1809211300054775 5.0577494 59.2752426  1809    11    3 zr               33          33   34      34 2.069000E+01 5.400000E-02   1.227728E-06 9.899001E-01 1.714798E-01 2.097545E+01 1.056499E-01 2.065657E+01 1.582348E-01 2.023226E+01 106.442927 194.337143 
  806203100056855 5.0275529 59.3228137   806     3    1 zr              539         533  557     551 2.002900E+01 7.300000E-02   1.385735E-06 1.198912E+00 1.711120E-01 2.076570E+01 9.449005E-02 2.011082E+01 1.168484E-01 1.937701E+01 106.458388 309.805325 
 1809211300061764 5.0344169 59.3263753  1809    11    3 zr                3           3    3       3 2.152100E+01 1.670000E-01   2.916116E-06 0.000000E+00 2.044438E-01 2.138796E+01 0.000000E+00 2.132784E+01 2.101359E-01 2.100764E+01 106.489433 319.492901 
 1809111300028438 5.0275740 59.3228565  1809    11    3 zg               11          11   11      11 2.109500E+01 9.200000E-02   3.046947E-06 1.773971E+00 3.229198E-01 2.153352E+01 2.128277E-01 2.090413E+01 1.778712E-01 2.039516E+01 106.527255 309.882358 
  806303100073773 5.1297079 59.3006794   806     3    1 zi                7           7   11      10 2.132300E+01 1.260000E-01   1.565680E-06 1.061004E+00 1.497769E-01 2.115930E+01 1.214695E-01 2.098269E+01 1.697360E-01 2.072219E+01 106.539155  96.203353 
  806303100043133 5.0344455 59.3264146   806     3    1 zi               20          17   23      19 2.096900E+01 1.310000E-01   9.711518E-07 1.238011E+00 1.562334E-01 2.105130E+01 1.279860E-01 2.077737E+01 1.532717E-01 2.049716E+01 106.562894 319.563806 
 1809211300054068 5.0550377 59.3321996  1809    11    3 zr                1           1    1       1 2.221700E+01 2.480000E-01   0.000000E+00 0.000000E+00         null 2.126996E+01 0.000000E+00 2.126996E+01 2.057841E-01 2.126996E+01 106.614564 342.931293 
 1809211300073444 5.1212255 59.2881615  1809    11    3 zr               57          57   58      58 2.029900E+01 5.300000E-02   1.244561E-06 1.033206E+00 1.407442E-01 2.050892E+01 8.835602E-02 2.027304E+01 1.267866E-01 1.982723E+01 106.616257 122.057856 
  806303100074034 5.1212325 59.2881581   806     3    1 zi               35          31   40      35 1.954000E+01 6.400000E-02   4.733213E-07 1.075964E+00 6.571805E-02 1.963431E+01 4.775429E-02 1.946693E+01 6.580192E-02 1.934360E+01 106.633664 122.059752 
 1809111300028330 5.0576307 59.3325795  1809    11    3 zg               27          27   28      28 2.088700E+01 6.200000E-02   1.661810E-06 1.082799E+00 2.011076E-01 2.128434E+01 1.285515E-01 2.087281E+01 1.760165E-01 2.046660E+01 106.638357 345.593433 
 1809211300066571 5.0274741 59.3228573  1809    11    3 zr               57          57   59      59 2.004700E+01 6.500000E-02   1.336812E-06 1.043151E+00 1.349984E-01 2.041058E+01 7.911873E-02 2.010257E+01 1.124491E-01 1.971241E+01 106.670044 309.820400 
  806103100019219 5.0575306 59.3325764   806     3    1 zg              190         185  221     215 2.096400E+01 8.600000E-02   1.373980E-06 1.230389E+00 2.023133E-01 2.137710E+01 1.271448E-01 2.084840E+01 1.532075E-01 2.019405E+01 106.673471 345.496327 
  806203100043166 5.0575582 59.3325806   806     3    1 zr              844         836  951     942 1.914900E+01 4.000000E-02   7.184143E-07 1.133775E+00 8.944315E-02 1.986203E+01 4.584026E-02 1.915235E+01 5.994382E-02 1.890122E+01 106.675419 345.524713 
  806303100042816 5.0576158 59.3325900   806     3    1 zi               44          40   49      44 1.765500E+01 2.900000E-02   1.493066E-07 8.075324E-01 1.579672E-02 1.769496E+01 1.081467E-02 1.765463E+01 1.985533E-02 1.763279E+01 106.681781 345.584257 
 1809211300006336 5.0575906 59.3325912  1809    11    3 zr               76          76   84      84 1.913600E+01 2.700000E-02   4.818345E-07 1.356613E+00 7.142041E-02 1.935980E+01 5.024815E-02 1.912063E+01 5.491463E-02 1.896840E+01 106.697503 345.560771 
  806203100056839 5.0343412 59.3264360   806     3    1 zr               93          90   96      93 2.158000E+01 1.650000E-01   1.060223E-06 1.132184E+00 2.398579E-01 2.186796E+01 1.610241E-01 2.135410E+01 2.108617E-01 2.062253E+01 106.745867 319.512427 
  806303100081983 5.0547119 59.3322252   806     3    1 zi               10           9   12      10 2.112900E+01 1.200000E-01   1.659338E-06 1.100634E+00 1.788478E-01 2.119080E+01 1.229267E-01 2.093531E+01 1.655874E-01 2.059382E+01 106.879788 342.639254 
  806203100060522 5.1255188 59.2921494   806     3    1 zr              789         780 1060    1049 1.739900E+01 2.900000E-02   2.935656E-07 8.699660E-01 2.636176E-02 1.766555E+01 1.259613E-02 1.742168E+01 2.146638E-02 1.729226E+01 106.931485 113.259460 
 1809211300043042 5.0699650 59.2742019  1809    11    3 zr                1           1    1       1 2.220100E+01 1.460000E-01   0.000000E+00 0.000000E+00         null 2.105603E+01 0.000000E+00 2.105603E+01 1.896996E-01 2.105603E+01 106.947875 182.084590 
 1809111300047961 5.1255297 59.2921278  1809    11    3 zg               55          55   58      58 1.840400E+01 3.100000E-02   2.930802E-07 9.324816E-01 4.103804E-02 1.845939E+01 2.446938E-02 1.840219E+01 3.890511E-02 1.830063E+01 106.980671 113.293462 
  806103100045094 5.0273614 59.3229259   806     3    1 zg               99          98  118     117 2.116700E+01 1.190000E-01   2.433955E-06 1.540963E+00 2.512923E-01 2.155246E+01 1.694069E-01 2.106851E+01 1.629907E-01 2.027818E+01 106.987156 309.851105 
  806203100051791 5.0548424 59.3322774   806     3    1 zr               15          15   15      15 2.232800E+01 3.600000E-01   2.973602E-06 2.070290E+00 3.865833E-01 2.200041E+01 3.094940E-01 2.148991E+01 2.216384E-01 2.083222E+01 106.987951 342.791780 
  806303100082131 5.0246976 59.3211698   806     3    1 zi               31          27   34      29 2.048000E+01 8.700000E-02   2.184426E-06 1.184604E+00 1.371261E-01 2.055017E+01 9.756088E-02 2.033660E+01 1.221030E-01 1.993502E+01 106.996502 305.569122 
  806203100064606 5.0195176 59.3166827   806     3    1 zr                8           8    8       8 2.244600E+01 2.750000E-01   6.903464E-07 9.518653E-01 2.875862E-01 2.203486E+01 1.522484E-01 2.170238E+01 2.371380E-01 2.105951E+01 106.996595 295.516961 
  806303100082594 5.1255314 59.2921184   806     3    1 zi               38          34   43      38 1.702100E+01 2.800000E-02   1.487066E-07 1.062501E+00 1.404626E-02 1.707202E+01 1.083374E-02 1.704169E+01 1.511726E-02 1.701296E+01 106.996952 113.309437 
 1809211300066767 5.1255437 59.2921289  1809    11    3 zr               74          74   83      83 1.739600E+01 2.200000E-02   1.938713E-07 1.063931E+00 2.186736E-02 1.745526E+01 1.381683E-02 1.740646E+01 1.925392E-02 1.734751E+01 107.002735 113.286055 
 1809111300037365 5.0152399 59.2974058  1809    11    3 zg               62          62   66      66 1.909000E+01 2.300000E-02   8.858519E-07 9.353760E-01 8.162777E-02 1.919258E+01 3.733063E-02 1.909011E+01 5.917021E-02 1.868488E+01 107.043752 257.428690 
 1809211300062026 5.0152401 59.2974022  1809    11    3 zr               77          77   86      86 1.788500E+01 1.800000E-02   2.126501E-07 8.507615E-01 2.261599E-02 1.794241E+01 1.413345E-02 1.788873E+01 2.463000E-02 1.783585E+01 107.046226 257.421878 
  806203100057069 5.0152204 59.2974192   806     3    1 zr              857         848 1101    1090 1.792400E+01 1.500000E-02   3.911535E-07 1.046542E+00 3.332067E-02 1.805997E+01 1.909256E-02 1.789569E+01 2.704777E-02 1.773093E+01 107.068204 257.458072 
 1809211300054249 5.0195756 59.3167914  1809    11    3 zr                2           2    2       2 2.243400E+01 3.080000E-01   1.478597E-07 0.000000E+00 1.252874E-01 2.108601E+01 0.000000E+00 2.099742E+01 1.852934E-01 2.090883E+01 107.069440 295.730534 
  806203100051911 5.0246308 59.3211573   806     3    1 zr              369         366  378     375 2.066500E+01 7.800000E-02   1.806518E-06 1.242221E+00 2.014086E-01 2.126549E+01 1.380768E-01 2.071620E+01 1.647956E-01 1.980877E+01 107.070262 305.511370 
  806303100062363 5.0152320 59.2973877   806     3    1 zi               38          34   44      39 1.727900E+01 2.900000E-02   1.349063E-07 8.202611E-01 1.499113E-02 1.731854E+01 9.245872E-03 1.729123E+01 1.671167E-02 1.725160E+01 107.072176 257.396362 
 1809111300042710 5.1216651 59.2882661  1809    11    3 zg                2           2    2       2 2.180400E+01 1.520000E-01   2.365960E-06 0.000000E+00 1.667289E-01 2.156594E+01 0.000000E+00 2.144804E+01 2.166314E-01 2.133015E+01 107.103446 121.657440 
  806103100040270 5.0152000 59.2974092   806     3    1 zg              328         320  418     408 1.907400E+01 2.200000E-02   6.321673E-07 8.920884E-01 6.358064E-02 1.935221E+01 3.289413E-02 1.908709E+01 5.466818E-02 1.884215E+01 107.112650 257.443650 
 1809211300054191 5.0246118 59.3211746  1809    11    3 zr               27          27   27      27 2.068500E+01 9.500000E-02   2.122258E-06 9.277916E-01 1.841498E-01 2.116570E+01 1.005287E-01 2.066957E+01 1.606437E-01 2.034562E+01 107.134829 305.527665 
 1809211300054386 5.0138372 59.3054082  1809    11    3 zr                0           0    0       0 2.168600E+01 9.400000E-02   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 107.172438 272.948247 
  806303100073466 5.0194185 59.3167167   806     3    1 zi               30          27   34      30 2.068100E+01 8.300000E-02   6.970816E-07 1.595673E+00 2.139733E-01 2.086717E+01 1.420889E-01 2.045015E+01 1.320201E-01 2.008028E+01 107.213596 295.534173 
 1809111300004129 5.0495312 59.3313597  1809    11    3 zg                2           2    2       2 2.187200E+01 9.800000E-02   1.788778E-06 0.000000E+00 2.626956E-01 2.187324E+01 0.000000E+00 2.168748E+01 2.336943E-01 2.150173E+01 107.215727 337.282468 
  806303100093076 5.0138090 59.3054400   806     3    1 zi                3           1    3       1 2.121800E+01 1.010000E-01   1.331160E-06 0.000000E+00 3.705024E-01 2.149880E+01 0.000000E+00 2.094765E+01 1.659114E-01 2.079428E+01 107.230040 273.007938 
 1809111300004076 5.0642056 59.3334053  1809    11    3 zg               63          63   65      65 1.939000E+01 3.000000E-02   6.143230E-07 8.187978E-01 7.325324E-02 1.957015E+01 4.020882E-02 1.940333E+01 7.280624E-02 1.920590E+01 107.235134 352.251177 
 1809211300054783 5.0623466 59.2745193  1809    11    3 zr                0           0    0       0 2.212800E+01 1.540000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 107.238182 189.610278 
 1809211300042023 5.0641985 59.3334072  1809    11    3 zr               77          77   86      86 1.818600E+01 2.100000E-02   2.133483E-07 1.186423E+00 3.030592E-02 1.827095E+01 2.361298E-02 1.819892E+01 2.950768E-02 1.813623E+01 107.243672 352.244768 
  806303100042774 5.0641979 59.3334140   806     3    1 zi               44          40   49      44 1.766500E+01 2.500000E-02   1.462817E-07 8.450687E-01 1.698952E-02 1.769354E+01 1.134586E-02 1.765838E+01 1.990534E-02 1.761882E+01 107.268076 352.245951 
 1809111300028453 5.0245002 59.3211831  1809    11    3 zg               10          10   10      10 2.145500E+01 7.100000E-02   2.143373E-06 8.321111E-01 2.194012E-01 2.171700E+01 1.132221E-01 2.123896E+01 2.017316E-01 2.099260E+01 107.319546 305.477436 
  806103100019190 5.0641737 59.3334278   806     3    1 zg              357         348  442     431 1.942700E+01 2.800000E-02   8.424169E-07 1.153465E+00 8.645945E-02 1.972666E+01 5.239105E-02 1.941649E+01 6.734054E-02 1.898906E+01 107.323308 352.226028 
  806203100022325 5.0641849 59.3334300   806     3    1 zr              873         864 1091    1080 1.820800E+01 1.800000E-02   4.252501E-07 9.527517E-01 4.291175E-02 1.847766E+01 2.081299E-02 1.821392E+01 3.238760E-02 1.804019E+01 107.328373 352.237478 
  806203100022390 5.0495346 59.3314080   806     3    1 zr              375         371  377     373 2.085500E+01 9.300000E-02   1.311541E-06 1.046501E+00 1.989156E-01 2.125097E+01 1.188812E-01 2.076650E+01 1.684215E-01 1.993342E+01 107.373706 337.321402 
  806303100061477 5.0495052 59.3314112   806     3    1 zi               39          35   42      38 2.017900E+01 4.700000E-02   8.950700E-07 1.273631E+00 1.448389E-01 2.051328E+01 9.236908E-02 2.014482E+01 1.075244E-01 1.986474E+01 107.405175 337.297205 
  806103100036075 5.0244798 59.3212103   806     3    1 zg               56          55   62      60 2.146400E+01 8.700000E-02   2.685381E-06 1.344128E+00 3.824476E-01 2.182075E+01 1.714535E-01 2.143631E+01 1.891165E-01 1.933353E+01 107.406865 305.508406 
