SourceID,filter,OID,RA,DEC,numobs,sf,FAP,period,period_w,power,power_w,mean,std,min,max,upsilon_class,upsilon_prob,upsilon_flag,upsilon_period,identifier,dist,type,Gaia_count,multiflag,GaiaDist,fluxratio,Gmag,Plx,e_Plx,Plxflag,RUWE,XMM,XMM_dist,Chandra,Chandra_dist,inside_flag,ic10_flag,lc_var,var,var_flag
1,zr,806203100023452,5.0720632,59.3038752,851,0.9999958153308316,3.1752911585385783e-17,2800.0,0.997336033066433,0.19455600160117095,0.828718121558811,15.05040168762207,0.015309100970625877,14.99232292175293,15.130514144897461,NonVar,0.6,0.0,1511.901550900002,[CHM2007] LDC   31 J002017.33+5918136,0.734832,GinGroup,1,0,0.037317,0.0,15.114388,0.3951,0.1062,0,4.658,0,,0,,True,True,N,N,False
1,zr,1809211300007650,5.0720654,59.3038596,77,0.9981997509944572,0.11454843350744998,0.10272337615237741,2800.0,0.21220607908278846,0.014182862102960344,15.044246673583984,0.011568024754524231,15.019607543945312,15.088167190551758,DSCT,0.27,1.0,0.10272079145728628,[CHM2007] LDC   31 J002017.33+5918136,0.734832,GinGroup,1,0,0.037317,0.0,15.114388,0.3951,0.1062,0,4.658,0,,0,,True,True,N,N,False
2,zr,1809211300070217,5.0690426,59.3040475,56,0.9386170974691139,0.1074781086890979,0.37890453869539864,2800.0,0.2778420325947693,0.037633445760631774,20.251352310180664,0.15365347266197205,19.95233154296875,20.715749740600586,NonVar,0.44,1.0,0.03860415050793573,,,,1,0,0.178998,0.0,20.248793,-0.7083,0.6045,0,1.048,0,,0,,True,True,N,N,False
2,zr,806203100065936,5.0690334,59.3040661,501,0.9582426406442783,0.014313439395987624,0.29343072946306986,0.997343815080248,0.08066567509773769,0.003899007689213132,20.25907325744629,0.15914002060890198,19.6058349609375,20.76239013671875,NonVar,0.69,1.0,0.03133595528004489,,,,1,0,0.178998,0.0,20.248793,-0.7083,0.6045,0,1.048,0,,0,,True,True,N,N,False
3,zr,806203100057022,5.0755433,59.3020667,716,0.9992624947012461,0.06381223460712625,0.11947880733901506,0.997336033066433,0.05450309054787811,0.006059245845272846,19.72352409362793,0.11341223865747452,19.399478912353516,20.101001739501953,NonVar,0.57,1.0,0.2284414330244274,,,,1,0,0.066078,0.0,19.72043,0.4084,0.3136,1,1.001,0,,0,,True,False,N,N,False
4,zr,806203100065940,5.0739557,59.3015362,37,0.12783449129189933,0.000256625330625918,0.18071546460548857,0.9972560997935076,0.727522610000513,0.4713412770901734,21.201833724975586,0.2826226055622101,20.41510009765625,21.721399307250977,DSCT,0.46,1.0,0.034914986771452876,,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,,True,True,N,N,False
3,zr,1809211300054451,5.075586,59.3020625,74,0.6324606000809007,0.5418160000564953,0.10296696861630297,2800.0,0.17402702191843375,0.1287013658478742,19.689390182495117,0.11223696172237396,19.437894821166992,19.953018188476562,DSCT,0.93,1.0,0.06901945028829662,,,,1,0,0.066078,0.0,19.72043,0.4084,0.3136,1,1.001,0,,0,,True,False,N,N,False
5,zr,806203100060430,5.070934,59.3008965,28,0.5984174537666562,0.007383182874099891,15.3971910489885,0.9973007154115933,0.8218173618839969,0.021587937890698784,21.132631301879883,0.2532823085784912,20.679914474487305,21.714054107666016,EB_EC,0.4,1.0,0.17829168594744613,[HL90]  46a,1.241266,HII,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,,True,True,N,N,False
6,zr,1809211300054379,5.0726338,59.3069596,52,0.9317788481283706,0.11513038102516225,0.11175381866929726,2800.0,0.2923195583973794,0.18403760183548382,20.32417869567871,0.16031809151172638,19.99271011352539,20.660245895385742,NonVar,0.44,1.0,0.03426764689794183,LGGS J002017.47+591825.1,0.15513,Em*,1,0,0.140771,0.0,20.539137,1.1997,0.8904,0,2.523,0,,0,,True,True,N,N,False
2182,zr,806203100060428,5.0686987,59.3011576,31,0.2010753927371321,0.004584205623594662,0.10915975604009884,0.9973200660635049,0.7675875229584677,0.02723589702929523,20.994417190551758,0.278987854719162,20.427616119384766,21.401565551757812,DSCT,0.67,1.0,0.11233686461738165,,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,,True,True,N,N,False
7,zr,1809211300070194,5.0765935,59.306523,21,0.8496240945440536,0.0009712057656648184,0.12183289580440618,2800.0,0.7633871860579919,0.062085698019975065,20.98085594177246,0.18643465638160706,20.425403594970703,21.25068473815918,DSCT,0.61,1.0,0.12183112796634757,[TG2009] 31,0.172675,Cl*,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,,True,True,N,N,False
9,zr,806203100060429,5.0695279,59.3006421,160,0.4743507804121476,3.048181533287517e-07,0.10914478534864454,0.9972995082486499,0.40096678543334724,0.0020024110433773433,20.83095932006836,0.23387056589126587,20.219526290893555,21.360595703125,DSCT,0.91,1.0,0.10914368076498164,[DBL2004] 302,1.354592,C*,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,,True,True,N,N,False
10,zr,806203100065939,5.0657057,59.3025674,226,0.2403639809229129,0.0031903671049481512,0.20201358587124105,0.9973062135504768,0.1716801633724817,0.04223251984776112,20.775442123413086,0.22661453485488892,20.03465461730957,21.30327033996582,DSCT,0.82,1.0,0.11574065659613127,,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,,True,True,N,N,False
