SourceID,mean_color,std_color,max_color,min_color,mean_mag_r,std_mag_r,max_mag_r,min_mag_r,mean_mag_g,std_mag_g,max_mag_g,min_mag_g,absolute_mag_r,var,Plxflag,ic10_flag,type,XMM,Chandra,intrinsic_mag_r,intrinsic_color
2004,1.0298164769222862,0.17416650522643173,1.3327198028564453,0.7127914428710938,20.530654907226562,0.1851407289505005,21.11758804321289,19.744525909423828,21.599279403686523,0.1701369732618332,21.941450119018555,21.193750381469727,-3.4693450927734375,N,0.0,False,0,0.0,0.0,,
2007,0.19991150625509108,0.016328941151355792,0.23999977111816406,0.13396549224853516,12.785636901855469,0.013909205794334412,12.827301979064941,12.698507308959961,12.98465347290039,0.013293983414769173,13.024125099182129,12.929561614990234,2.204227911675268,N,1.0,False,0,0.0,0.0,,
2008,1.4284980204882542,0.03706925949175035,1.5140018463134766,1.3260612487792969,16.251155853271484,0.0431537926197052,16.354297637939453,16.16180419921875,17.681459426879883,0.05399414896965027,17.78353500366211,17.516620635986328,0.9059010091090975,P,1.0,False,0,0.0,1.0,,
2009,1.545655434961477,0.04795967964467584,1.6554031372070312,1.3980255126953125,16.672199249267578,0.020605992525815964,16.739864349365234,16.517669677734375,18.220327377319336,0.048485301434993744,18.40713882446289,18.07326889038086,4.100096634190972,N,1.0,False,0,0.0,0.0,,
2011,0.9060481150945028,0.03821458668468486,1.1461257934570312,0.7922039031982422,17.16968536376953,0.020340505987405777,17.229923248291016,16.999927520751953,18.074377059936523,0.031149201095104218,18.172225952148438,17.97980499267578,3.9286668982546473,N,1.0,False,0,0.0,0.0,,
2017,1.4426690101623536,0.229019662474786,1.929922103881836,0.7132644653320312,19.782501220703125,0.10270753502845764,20.111095428466797,19.41948127746582,21.20824432373047,0.23413263261318207,21.6981201171875,20.369014739990234,-4.217498779296875,N,0.0,False,0,0.0,0.0,,
2018,1.3177389928272791,0.10191705326285799,1.6766891479492188,0.9093284606933594,18.282758712768555,0.036201413720846176,18.442623138427734,17.95748519897461,19.60125732421875,0.09514695405960083,19.924400329589844,19.242023468017578,5.868078080181828,N,1.0,False,0,0.0,0.0,,
2021,1.1395890067605412,0.06398097266792653,1.358816146850586,0.9263420104980469,17.878246307373047,0.03243449330329895,17.95722007751465,17.61093521118164,19.022918701171875,0.06529329717159271,19.216461181640625,18.760499954223633,3.5523181589753463,N,1.0,False,0,0.0,0.0,,
2022,0.9494190121641254,0.14740966161511054,1.5141067504882812,0.4627513885498047,19.171049118041992,0.0685223788022995,19.48320770263672,18.845806121826172,20.123077392578125,0.1283801794052124,20.69696044921875,19.654512405395508,-4.828950881958008,N,0.0,False,0,0.0,0.0,,
2025,0.5162216050854288,0.019071837827038408,0.5611000061035156,0.44739246368408203,14.47478199005127,0.012823379598557949,14.540899276733398,14.437278747558594,14.991337776184082,0.014989000745117664,15.0379056930542,14.933501243591309,2.6542104164576337,N,1.0,False,0,0.0,0.0,,
2026,1.1729152529847389,0.18842012929868593,1.5207271575927734,0.5328636169433594,19.620208740234375,0.1001097708940506,19.997264862060547,19.146425247192383,20.789447784423828,0.1890145242214203,21.19445037841797,20.107837677001953,-4.379791259765625,N,0.0,False,0,0.0,0.0,,
2035,1.4951100007391178,0.0348368465809689,1.5904273986816406,1.3860607147216797,15.197938919067383,0.016030391678214073,15.25480842590332,15.154165267944336,16.6923885345459,0.02901075780391693,16.766862869262695,16.595348358154297,2.0449459875505056,N,1.0,False,0,0.0,0.0,,
2036,1.1885284696306502,0.307668208922837,1.7911758422851562,0.39437294006347656,20.143239974975586,0.14271917939186096,20.622802734375,19.635482788085938,21.332149505615234,0.31324857473373413,21.945932388305664,20.74138641357422,10.819221373008592,N,1.0,False,0,0.0,0.0,,
2039,1.4303065213290127,0.21157624883892479,2.013397216796875,0.5764446258544922,19.529029846191406,0.08819344639778137,19.83065414428711,19.21502685546875,20.946062088012695,0.21652066707611084,21.538368225097656,20.120161056518555,10.873323221162089,N,1.0,False,0,0.0,0.0,,
2041,0.9827489892807965,0.054644732908971046,1.225494384765625,0.7779331207275391,17.656538009643555,0.022803429514169693,17.729312896728516,17.528362274169922,18.63719367980957,0.04688018187880516,18.86669921875,18.42852783203125,3.9025297965991186,N,1.0,False,0,0.0,0.0,,
2043,0.8554007695194035,0.02473759563340049,0.9285507202148438,0.7797222137451172,16.149211883544922,0.013870488852262497,16.203075408935547,16.07174301147461,17.004451751708984,0.019425833597779274,17.06772804260254,16.92894172668457,5.234393013795065,N,1.0,False,0,0.0,0.0,,
2046,1.2595683073386168,0.13163777817163694,1.6226215362548828,0.7223167419433594,18.76407814025879,0.06375400722026825,19.407974243164062,18.56521987915039,20.018049240112305,0.11956948786973953,20.419462203979492,19.51950454711914,-5.235921859741211,N,0.0,False,0,0.0,0.0,,
2052,1.1399145221710205,0.13302909378098723,1.4283599853515625,0.6906032562255859,19.016447067260742,0.05964791402220726,19.256580352783203,18.804479598999023,20.14271354675293,0.1337880939245224,20.42169952392578,19.594682693481445,-4.983552932739258,N,0.0,False,0,0.0,0.0,,
2055,1.0953549124977806,0.16235598977380652,1.5280437469482422,0.39837074279785156,19.422285079956055,0.08495336025953293,20.155057907104492,19.21022605895996,20.504436492919922,0.15462179481983185,20.992881774902344,19.991718292236328,-4.577714920043945,N,0.0,False,0,0.0,0.0,,
2056,1.1704208374023437,0.2314521813753447,1.6796379089355469,0.7294998168945312,20.135040283203125,0.14089785516262054,20.634794235229492,19.63419532775879,21.27135467529297,0.2301231175661087,21.681303024291992,20.545562744140625,9.388577710075811,N,1.0,False,0,0.0,0.0,,
2060,0.848751966980682,0.11434924390581762,1.2210121154785156,0.2156391143798828,18.65743637084961,0.04927552863955498,18.873973846435547,18.42856216430664,19.508220672607422,0.10168588906526566,19.84526824951172,18.95267105102539,6.327566901130282,N,1.0,False,0,0.0,0.0,,
2068,0.9166358600963246,0.3224753593115467,1.4585533142089844,0.2531242370605469,18.9552001953125,0.14789386093616486,19.5230712890625,18.558624267578125,19.920562744140625,0.27073442935943604,20.44232749938965,19.34166717529297,6.990329587486428,V,1.0,False,0,0.0,0.0,,
2074,1.2687678086130243,0.19237398367748668,2.002256393432617,0.7200298309326172,19.231597900390625,0.09396736323833466,19.509292602539062,18.71018409729004,20.500913619995117,0.1807423233985901,20.93352508544922,19.876022338867188,-4.768402099609375,N,0.0,False,Em*,0.0,0.0,,
