angDist,SourceID,RA,DEC,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff,B_Teff,logg,b_logg,B_logg,[Fe/H],b_[Fe/H],B_[Fe/H],Dist,b_Dist,B_Dist,A0,b_A0,B_A0,AG,b_AG,B_AG,E(BP-RP),b_E(BP-RP),B_E(BP-RP),Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000
0.452534,77,5.0869436,59.2997882,Gaia DR3 428242947052289664,5.08718980255,59.29978945480,0.000,0.000,128,1636148068921376768,428242947052289664,363199189,0.1456,0.1373,0.0394,0.2003,0.1970,0.400,-0.311,0.192,0.252,0.170,-0.2466,0.0927,-0.1602,-0.0817,0.0661,-0.1857,0.2654,-0.1896,0.3035,-0.3895,440,0,438,2,-0.4984,4.3602e+02,0.000,0.0000e+00,95,0,,1.4095,0.0395,-0.031,0.091,-0.013,-0.077,-0.011,51,26,0.303028,59,7.397e-02,7.280e+00,0,0,0.982,0,445,472.22679,3.98250e+00,1.18576e+02,19.001991,0.009562,58,1.96309e+02,7.97280e+00,2.46223e+01,19.606192,0.044184,56,5.29051e+02,1.34605e+01,3.93039e+01,17.939152,0.027881,1.536,0,36,0,35,0,1.667040,0.604200,1.062840,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999993,,,,,,,,,,,,,,,,,,,,,,,5.08719250874,59.29978833631,3.100795,2.681979,-0.3782
1.051366,77,5.0869436,59.2997882,Gaia DR3 428242947042534784,5.08640683572,59.29988915356,0.001,0.000,163,1636148068921376768,428242947042534784,755221998,0.4960,0.6554,-1.1375,0.7552,-1.5061,1.344,-1.302,0.652,-0.335,0.871,-0.1869,0.1736,0.0841,-0.1680,-0.0438,-0.1709,0.0362,-0.1352,0.0351,-0.4277,256,0,256,0,1.7968,3.0646e+02,1.315,5.8537e-01,95,0,,1.6352,0.1771,-0.085,0.194,-0.112,-0.152,0.033,30,22,1.306623,44,3.346e-02,3.084e+01,0,41,1.080,0,285,114.50337,7.51450e-01,1.52377e+02,20.540321,0.007640,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,5.08641816755,59.29989064386,10.395277,13.932821,-0.4135
1.001914,78,5.0690993,59.2953914,Gaia DR3 428243045831167744,5.06867704327,59.29521542144,0.000,0.000,135,1636148068921376768,428243045831167744,210054007,0.2422,0.2416,0.4128,0.3378,1.2221,0.229,0.034,0.321,-0.226,0.316,-0.2569,0.1457,-0.1328,-0.0772,0.0604,-0.1694,0.1415,-0.2493,0.2346,-0.4534,432,0,431,1,1.9010,5.1321e+02,1.109,1.9249e+00,95,0,,1.2997,0.0690,-0.054,0.027,0.022,-0.139,0.016,50,26,0.538266,58,1.898e-02,1.793e+02,0,0,1.065,0,444,257.53459,1.57663e+00,1.63345e+02,19.660278,0.007195,47,5.44718e+01,4.12916e+00,1.31920e+01,20.998114,0.082350,44,3.67691e+02,7.39366e+00,4.97306e+01,18.334187,0.022157,1.639,0,3,0,0,0,2.663927,1.337835,1.326092,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999987,,,,,,,,,,,,,,,,,,,,,,,5.06867674422,59.29521642576,5.177765,5.022513,-0.4415
0.666992,79,5.0841666,59.3103325,Gaia DR3 428243153200938112,5.08385509580,59.31023736936,0.001,0.001,103,1636148068921376768,428243153200938112,869465780,0.6821,0.5666,-0.9653,1.0180,-0.9483,1.091,-1.077,0.951,0.178,0.843,-0.0915,0.3763,-0.0216,0.0933,0.1843,-0.2007,0.3246,-0.3301,0.4544,-0.4646,239,0,238,1,1.3946,2.7910e+02,1.515,6.7863e-01,95,0,,1.9449,0.1874,-0.048,0.080,-0.002,-0.266,0.006,28,19,1.560778,38,9.186e-02,1.392e+02,0,25,1.064,0,254,119.21414,1.40063e+00,8.51149e+01,20.496548,0.013050,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000317,0.000003,0.999660,,,,,,,,,,,,,,,,,,,,,,,5.08386447255,59.31023657845,15.239002,13.308446,-0.4656
1.159570,79,5.0841666,59.3103325,Gaia DR3 428242947052278528,5.08473906206,59.31046808279,0.002,0.001,157,1636148068921376768,428242947052278528,1760950003,1.5292,1.7734,,,,,,,,,-0.1545,,,,,,,,,,453,0,413,40,152.3982,3.8588e+04,22.153,1.2408e+03,3,0,,,,,,,,,51,27,3.499361,65,3.013e-01,1.135e+02,29,1,,1,477,407.65683,4.82800e+00,8.44360e+01,19.161631,0.013151,52,4.06178e+02,6.93331e+00,5.85836e+01,18.816751,0.018742,55,1.06307e+03,1.12894e+01,9.41653e+01,17.181490,0.012134,3.604,0,52,0,55,0,1.635262,-0.344879,1.980141,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000063,0.000779,0.998036,,,,,,,,,,,,,,,,,,,,,,,5.08473906206,59.31046808279,1.529237,1.773358,-0.1545
0.338609,85,5.0849163,59.31049385,Gaia DR3 428242947052278528,5.08473906206,59.31046808279,0.002,0.001,157,1636148068921376768,428242947052278528,1760950003,1.5292,1.7734,,,,,,,,,-0.1545,,,,,,,,,,453,0,413,40,152.3982,3.8588e+04,22.153,1.2408e+03,3,0,,,,,,,,,51,27,3.499361,65,3.013e-01,1.135e+02,29,1,,1,477,407.65683,4.82800e+00,8.44360e+01,19.161631,0.013151,52,4.06178e+02,6.93331e+00,5.85836e+01,18.816751,0.018742,55,1.06307e+03,1.12894e+01,9.41653e+01,17.181490,0.012134,3.604,0,52,0,55,0,1.635262,-0.344879,1.980141,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000063,0.000779,0.998036,,,,,,,,,,,,,,,,,,,,,,,5.08473906206,59.31046808279,1.529237,1.773358,-0.1545
1.315459,85,5.0849163,59.31049385,Gaia DR3 428242947042507776,5.08557230950,59.31034750204,0.000,0.000,150,1636148068921376768,428242947042507776,1006515687,0.3435,0.3924,0.7242,0.5063,1.4304,0.484,0.376,0.457,0.305,0.516,-0.2338,0.1179,-0.0689,-0.1223,0.0236,-0.2106,0.2127,-0.1169,0.1481,-0.4314,399,0,396,3,4.3643,5.5988e+02,2.314,4.3898e+00,95,0,,1.2668,0.1090,-0.049,0.108,-0.036,-0.155,0.031,47,26,0.820214,57,3.367e-02,8.427e+01,0,30,1.159,0,431,180.51454,8.87336e-01,2.03434e+02,20.046087,0.006006,0,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.001153,0.000011,0.998820,,,,,,,,,,,,,,,,,,,,,,,5.08556903281,59.31034614707,7.340715,8.189405,-0.4182
0.041462,86,5.05933845,59.297331299999996,Gaia DR3 428243045831167360,5.05932969479,59.29732068575,0.000,0.000,145,1636148068921376768,428243045831167360,476069151,0.0868,0.0942,0.1324,0.1271,1.0417,4.551,-4.382,0.113,-1.226,0.125,-0.2320,0.1604,-0.1053,-0.0734,0.0502,-0.1463,0.1061,-0.1635,0.1976,-0.3991,483,0,483,0,-0.9291,4.7801e+02,0.000,0.0000e+00,95,0,,1.3624,0.0253,-0.087,0.033,-0.027,-0.042,-0.030,56,27,0.197610,64,1.685e-02,7.024e+01,0,0,0.969,0,517,825.35793,1.02856e+00,8.02439e+02,18.395761,0.003070,55,2.35459e+02,6.16322e+00,3.82038e+01,19.408754,0.028556,55,8.11944e+02,1.09948e+01,7.38480e+01,17.474079,0.015180,1.269,0,3,0,3,0,1.934675,1.012993,0.921682,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999993,4764.2,4723.2,4781.7,4.8260,4.7234,4.8447,-1.5662,-1.7004,-1.4809,823.2042,801.8889,908.1006,2.0908,2.0505,2.1163,1.5500,1.5187,1.5697,0.8516,0.8341,0.8626,MARCS,5.05936784220,59.29732613318,1.820311,1.995991,-0.3884
0.059691,88,5.06376405,59.3122502,Gaia DR3 428243148910398592,5.06378933380,59.31223978753,0.000,0.000,143,1636148068921376768,428243148910398592,1333402874,0.1244,0.1325,0.8633,0.1801,4.7927,1.727,-0.750,0.161,1.556,0.178,-0.2232,0.1626,-0.1174,-0.0579,0.0571,-0.1414,0.1337,-0.1609,0.2161,-0.4021,493,0,488,5,2.1937,5.9105e+02,0.668,2.2754e+00,95,0,,1.3378,0.0360,-0.099,0.013,-0.038,-0.027,-0.042,56,28,0.282103,63,8.936e-03,1.274e+02,1,0,1.071,0,518,558.02185,1.05429e+00,5.29287e+02,18.820740,0.003435,57,1.55187e+02,6.20252e+00,2.50200e+01,19.861403,0.043484,55,5.79230e+02,7.08183e+00,8.17911e+01,17.840767,0.013802,1.316,0,5,0,1,0,2.020636,1.040663,0.979973,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999997,3613.8,3595.9,3643.6,4.4979,4.4498,4.5553,-1.7681,-1.8091,-1.7313,523.4152,492.9270,549.1233,0.3628,0.3164,0.4294,0.2536,0.2211,0.3007,0.1369,0.1194,0.1623,PHOENIX,5.06379586236,59.31223287393,2.592586,2.840722,-0.3926
0.314936,90,5.08354415,59.3114499,Gaia DR3 428243187560672512,5.08337571931,59.31143366270,0.000,0.000,134,1636148068921376768,428243187560672512,1518497299,0.2004,0.1983,-0.3582,0.2602,-1.3763,0.503,0.081,0.243,0.496,0.260,-0.2393,0.1205,-0.3157,-0.0550,0.0625,-0.1201,-0.0571,-0.1612,0.1718,-0.4487,461,0,458,3,1.1724,5.1921e+02,0.587,7.4836e-01,95,0,,1.3117,0.0556,-0.064,0.067,-0.018,-0.089,0.031,53,26,0.421884,59,1.535e-01,4.952e+01,0,3,1.038,0,474,316.97969,3.10455e+00,1.02102e+02,19.434788,0.010985,43,1.98204e+02,1.33754e+01,1.48186e+01,19.595760,0.073321,45,2.80833e+02,1.65288e+01,1.69905e+01,18.626774,0.064014,1.511,0,24,0,25,0,0.968987,0.160973,0.808014,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.002521,0.000000,0.997476,,,,,,,,,,,,,,,,,,,,,,,5.08337501087,59.31143145687,3.951457,4.174414,-0.4315
