angDist,_RAJ2000,_DEJ2000,recno,n_XP,XP,XMMU,ePos,CR,HR,HR1,Notes,_RA,_DE,SourceID,RA,DEC
1.394848,5.1076667,59.3123889,37,*,37,J002025.84+591844.6,1.6,4.15,,0.08,"B, S, H",5.10767,59.31239,382,5.10831305,59.31259215
1.215767,5.177625,59.3139722,45,*,45,J002042.63+591850.3,2.9,1.9,,,B,5.17762,59.31397,1843,5.1778303,59.314293250000006
